n h l2_abs l2_rel
20 0.05 0.0042037059015967455 0.00854684933016642
40 0.025 0.0009004860147934802 0.001808393471082276
80 0.0125 0.00021385048494815376 0.0004281409084082492
160 0.00625 5.271739220428649e-05 0.00010546188683948545
320 0.003125 1.3131967348161021e-05 2.6265622345889182e-05
640 0.0015625 3.2800139746539095e-06 6.560133329191988e-06
