n h l2_abs l2_rel
20 0.05 0.4289054135508053 0.8578108271016106
40 0.025 0.3116295904666255 0.623259180933251
80 0.0125 0.1932023529062388 0.38640470581247766
160 0.00625 0.10835909001746456 0.21671818003492904
320 0.003125 0.05748738684115079 0.11497477368230158
640 0.0015625 0.029621643262273515 0.059243286524547
1280 0.00077519 0.015037018838784949 0.03007403767756989
