n h l2_abs l2_rel
20 0.05 0.00013303712809584423 0.0002660796337305257
40 0.025 1.668440907060898e-05 3.336886042103812e-05
80 0.0125 2.094257840767334e-06 4.188516013480194e-06
160 0.00625 2.6548707483741325e-07 5.309741523053615e-07
