n h l2_abs l2_rel
20 0.05 0.0046832285732591435 0.009366646448887458
40 0.025 0.0023339548647601446 0.004667915643975607
80 0.0125 0.0011650592668079746 0.002330118718280991
160 0.00625 0.0005820505895344097 0.001164101184835972
