n h l2_error time(numpy) time(cpu) time(gpu)
20 0.05 0.00882754 2.4
40 0.025 0.00799832 5.0
80 0.0125 0.00703947 13.0
160 0.00625 0.00574483 44.5
320 0.003125 0.00425348 272.1
640 0.0015625 0.00283021 nan nan 294.0
1280 0.00077519 0.00171299 nan nan 2590.9
2560 0.00039062 0.0009637 nan 19750.7 18714.4
