n h l2_abs l2_rel
20 0.05 0.00013299506739375278 0.0002659955106261929
40 0.025 1.6664561612484357e-05 3.3329165454493604e-05
80 0.0125 2.084393029621095e-06 4.168786389624117e-06
160 0.00625 2.605908842435784e-07 5.211817710691788e-07
