n h l2_abs l2_rel
20 0.05 0.0281435036622413 0.434646314395016
40 0.025 0.012762709384422371 0.1797866192055096
80 0.0125 0.002989719516105094 0.04100623750195926
160 0.00625 0.0006581200353753839 0.008964465563146215
320 0.003125 0.00016174545391948507 0.0021993518378024745
640 0.0015625 4.2671431612345424e-05 0.0005799763062117835
1280 0.00077519
2560 0.00039062 
