n h l2_abs l2_rel
10 0.1 0.09891278467393924 0.9891278467393924
20 0.05 0.07062150524518776 0.9620457223968044
40 0.025 0.0682575528308436 0.9276380622410967
80 0.0125 0.06359727751258518 0.8642683954119893
160 0.00625 0.055854369193142385 0.7590440200218687
320 0.003125 0.04477196983301959 0.6084375459466344
640 0.0015625 0.03192366268627623 0.4338329327113784
1280 0.00077519 0.02025011737227942 0.27519297812508875
2560 0.00039062 
