n h l2_abs l2_rel
20 0.05 2.754527216361558e-06 5.509037982244733e-06
40 0.025 4.745767644514138e-07 9.491533508562619e-07
80 0.0125 1.1447472843594057e-07 2.2894945418424767e-07
160 0.00625 2.855226784281055e-08 5.710453564371161e-08
