n h l2_abs l2_rel
20 0.05 2.0613424771797343e-06 4.12267264369154e-06
40 0.025 1.287948197555872e-07 2.575895911913302e-07
80 0.0125 8.049268644203929e-09 1.6098537099427426e-08
160 0.00625 5.030743713284125e-10 1.0061487419184042e-09
