n h l2_abs l2_rel
20 0.05 2.061342928816133e-06 4.122673546961641e-06
40 0.025 1.2879485613061062e-07 2.5758966394136337e-07
80 0.0125 8.04927653114064e-09 1.6098552873300663e-08
160 0.00625 5.030763257329935e-10 1.0061526507275634e-09
