n h l2_abs l2_rel
20 0.05 0.003506716250270023 0.007013411557868096
40 0.025 0.001749028078633596 0.0034980555010857986
80 0.0125 0.0008734351119728488 0.00174687020343922
160 0.00625 0.000436448175941737 0.0008728963512428481
