n h l2_error time(numpy) time(cpu) time(gpu)
20 0.05 0.00055676 nan 19.0 nan
40 0.025 0.00010915 nan 40.9 nan
80 0.0125 2.03007346e-05 nan 150.8 nan
160 0.00625 3.75356295e-06 nan 534.1 nan
320 0.003125 6.63082595e-07 nan 3526.8 nan
640 0.0015625 1.16060295e-07 nan 27853.2 nan
 
