n h l2_abs l2_rel
20 0.05 0.0071135346111740475 0.09707257877067779
40 0.025 0.003772983695209584 0.05128891640285787
80 0.0125 0.001955784171008323 0.0265790314452656
160 0.00625 0.000992844866475324 0.013492478504499401
320 0.003125 0.0005324046430141482 0.00723521883869968
640 0.0015625 0.0016984662870940565 0.023081643897902612
1280 0.00077519
2560 0.00039062 
