n h l2_abs l2_rel
20 0.05 0.006511195534935573 0.08885295088934718
40 0.025 0.0010596651250116198 0.014404800126952545
80 0.0125 0.00022861364110580314 0.003106850564515561
160 0.00625 5.323502317310964e-05 0.0007234487784578388
320 0.003125 1.2631257115647207e-05 0.000171654982049361
640 0.0015625 3.0092180775237562e-06 4.089436487748671e-05
1280 0.00077519
2560 0.00039062 
