n h l2_abs l2_rel
20 0.05 0.07065008132816636 0.9624350018138456
40 0.025 0.0683077787108161 0.9283206451354397
80 0.0125 0.06368510137264352 0.8654618959764827
160 0.00625 0.05599193481137849 0.7609134952552502
320 0.003125 0.04495187260400835 0.6108823702618842
640 0.0015625 0.03210872721733651 0.4363479037859616
1280 0.00077519 0.020399026683204285 0.27721661067943953
2560 0.00039062 
